price_normalized,returns_normalized,rsi_normalized,macd_hist_normalized,bb_position,atr_normalized,volatility_normalized,I_trend_float
0.481203,-0.145854,0.375049,1.566681,0.340187,0.255378,1.528263,0.000000
0.903654,-0.145854,0.421918,1.566681,0.415546,0.252162,1.528263,0.000000
0.250000,-0.145854,0.360510,1.566681,0.402107,0.246849,1.528263,0.000000
0.436123,-0.145854,0.365161,1.566681,0.333137,0.246078,1.528263,0.000000
0.563707,-0.145854,0.466344,1.566681,0.615229,0.267257,1.528263,0.000000
0.616943,-0.145854,0.543426,1.566681,0.832717,0.279028,1.528263,0.000000
0.900000,-0.145854,0.670629,1.566681,1.000000,0.324600,1.528263,1.000000
0.179811,-0.145854,0.791119,1.566681,1.000000,0.295634,1.528263,1.000000
0.661157,-0.145854,0.770003,1.566681,1.000000,0.278451,1.528263,1.000000
1.000000,-0.145854,0.926284,1.566681,1.000000,0.259673,1.528263,1.000000
0.483070,-0.145854,0.892206,1.566681,0.911700,0.263052,1.528263,1.000000
0.349827,-0.145854,0.871612,1.566681,0.854027,0.289535,1.528263,1.000000
0.401114,-0.145854,0.820996,1.566681,0.780170,0.289423,1.528263,1.000000
0.804054,-0.145854,0.807367,1.566681,0.751325,0.283076,1.528263,1.000000
0.028302,-0.532041,0.775953,1.073553,0.702609,0.286618,1.520588,1.000000
0.204663,-0.810617,0.721064,0.528529,0.637417,0.290550,1.148590,1.000000
0.619608,0.349265,0.738088,0.210489,0.649679,0.289280,1.123787,1.000000
0.507132,-0.074963,0.766430,-0.035017,0.633502,0.306420,1.106612,1.000000
0.957190,0.835320,0.754570,-0.034279,0.685728,0.311637,1.098557,1.000000
0.396992,0.016524,0.728159,-0.041786,0.678737,0.316731,1.070653,1.000000
0.420039,1.165915,0.584527,0.180657,0.766227,0.300344,1.103767,1.000000
0.672414,1.922646,0.696837,0.705919,0.915034,0.321517,1.282507,1.000000
0.281295,-3.729157,0.481189,0.135313,0.533549,0.401056,2.431772,1.000000
0.450128,-1.277242,0.394466,-0.542699,0.339424,0.422079,2.440456,1.000000
0.968051,0.508218,0.437986,-0.837929,0.369208,0.416101,2.270942,1.000000
0.355401,-0.138596,0.443991,-1.020553,0.290425,0.391401,2.137632,1.000000
0.649254,0.673363,0.504598,-0.939325,0.481714,0.398364,0.787278,1.000000
0.048450,-0.857770,0.475494,-1.039556,0.320083,0.414517,0.812922,1.000000
0.588235,0.056782,0.497522,-1.039580,0.370239,0.423435,0.797839,1.000000
0.558376,-0.024832,0.528650,-0.992952,0.408355,0.415339,0.711051,0.000000
0.483333,-0.412561,0.498402,-1.003050,0.353699,0.412374,0.691200,0.000000
0.715736,0.234820,0.511463,-0.906730,0.445692,0.393706,0.687279,0.000000
0.606838,0.129131,0.484468,-0.771442,0.503741,0.359856,0.644063,0.000000
0.191824,-0.965032,0.443571,-0.853054,0.309829,0.345660,0.693058,0.000000
0.982507,0.085143,0.394069,-0.836926,0.359933,0.316024,0.669058,0.000000
0.377465,-0.651008,0.252180,-0.914967,0.237762,0.282102,0.642202,0.000000
0.825243,-0.070407,0.402648,-0.924330,0.256380,0.207263,0.607106,0.000000
0.590909,0.437496,0.546798,-0.782654,0.379750,0.186935,0.620077,0.000000
0.864253,0.263465,0.524548,-0.590437,0.468136,0.182912,0.539576,0.000000
0.298429,-0.541602,0.484776,-0.545140,0.378952,0.178979,0.535727,0.000000
0.019608,-1.492194,0.309753,-0.798806,0.090874,0.178325,0.522586,0.000000
0.927765,1.617945,0.506253,-0.558482,0.578572,0.193490,0.435611,0.000000
0.351254,0.373399,0.525801,-0.284713,0.797438,0.198971,-1.162216,0.000000
0.416667,-0.206644,0.511308,-0.128293,0.717945,0.207967,-1.460457,0.000000
0.003021,-0.933099,0.474876,-0.216645,0.316057,0.214709,-1.436306,0.000000
0.934783,0.899625,0.515025,-0.047420,0.764009,0.225481,-1.295121,0.000000
0.756410,0.528895,0.536869,0.197033,1.000000,0.240095,-1.370728,1.000000
0.558333,-0.219768,0.583498,0.308966,0.901203,0.236841,-1.520013,1.000000
0.410596,-0.507571,0.545873,0.265582,0.720656,0.235282,-1.471903,1.000000
0.197425,-0.421921,0.558962,0.145376,0.590966,0.230245,-1.439533,1.000000
0.485915,-0.279439,0.544650,0.011261,0.510596,0.229267,-1.442695,1.000000
0.720174,0.881785,0.565553,0.125968,0.837622,0.235367,-1.296162,1.000000
0.136792,-1.241455,0.484951,-0.064270,0.437818,0.244465,-1.051868,1.000000
0.932584,0.336895,0.525939,-0.110440,0.557300,0.251312,-1.141414,1.000000
0.359155,-0.176266,0.606216,-0.169799,0.506408,0.235745,-1.123830,1.000000
0.567823,-0.419102,0.480562,-0.289606,0.359765,0.211725,-1.135916,1.000000
0.639889,-0.484883,0.417137,-0.459433,0.193982,0.203512,-1.083889,1.000000
0.177843,-0.813826,0.383384,-0.724560,0.000000,0.201015,-1.032137,0.000000
0.528139,0.192148,0.449858,-0.804309,0.120895,0.196682,-1.030601,0.000000
0.365482,0.216838,0.382696,-0.755734,0.217777,0.185411,-1.024723,0.000000
0.693122,-0.435444,0.291805,-0.777171,0.076712,0.181708,-1.330652,0.000000
0.118072,-0.775029,0.266162,-0.911856,0.000000,0.189394,-1.821144,0.000000
0.585551,-1.036076,0.246262,-1.166988,0.000000,0.210511,-1.702333,0.000000
0.405229,-0.252482,0.249881,-1.308258,0.000000,0.213717,-1.654464,0.000000
0.690798,1.484836,0.384958,-0.988503,0.254692,0.264041,-1.265637,0.000000
0.404348,-0.850843,0.275309,-0.911272,0.145199,0.274189,-1.378519,0.000000
0.912000,3.017729,0.526807,-0.093592,0.723166,0.297184,0.058807,0.000000
0.425056,-0.510262,0.486478,0.331971,0.653230,0.301289,0.086125,0.000000
0.311321,-0.251916,0.483290,0.549811,0.627266,0.308867,0.070787,0.000000
0.608696,0.850652,0.542368,0.872959,0.800749,0.313469,0.159377,0.000000
0.775961,2.866150,0.664329,1.717474,1.000000,0.348145,1.107597,0.000000
0.051678,-1.487192,0.630228,1.810381,0.919969,0.397561,1.267272,1.000000
0.667208,1.006906,0.653066,2.007417,0.998921,0.413008,1.186975,1.000000
0.719444,0.727080,0.666952,2.182727,1.000000,0.419246,1.200790,1.000000
0.223350,-0.240509,0.676509,2.112062,0.931891,0.420044,1.176574,1.000000
1.000000,0.747255,0.725204,2.107755,0.950165,0.420953,1.156200,1.000000
0.153646,-0.995184,0.725048,1.781739,0.820888,0.404595,1.222669,1.000000
0.364103,-0.274189,0.726452,1.430153,0.772764,0.400059,1.122321,1.000000
0.801075,0.224339,0.705487,1.177027,0.771632,0.345373,1.097477,1.000000
0.117647,-0.534770,0.721525,0.839388,0.707940,0.323728,1.121696,1.000000
0.212500,-0.174825,0.638731,0.537410,0.679196,0.284923,1.071543,1.000000
0.654930,-0.136602,0.662116,0.279681,0.654833,0.272081,0.971273,1.000000
0.930380,0.390242,0.688500,0.170077,0.681369,0.265098,0.796738,1.000000
0.062016,-0.675197,0.625194,-0.053355,0.604186,0.257819,0.831469,1.000000
0.745763,-0.030697,0.481767,-0.209229,0.591336,0.211153,0.696541,1.000000
0.621622,-0.346822,0.572375,-0.374617,0.532309,0.156140,0.595583,1.000000
0.547059,-0.268103,0.468225,-0.523401,0.483406,0.137347,-0.290991,1.000000
0.809160,-0.093100,0.371813,-0.618044,0.450359,0.127673,-0.336522,1.000000
0.214286,-0.126331,0.383492,-0.678177,0.378413,0.121681,-0.352615,1.000000
0.733179,0.559396,0.353257,-0.570982,0.538650,0.120653,-0.393667,0.000000
