timestamp,open,high,low,close,volume,date
1672506000000,16596.1,16600.1,16565.9,16573.4,5386.118,2022-12-31 17:00:00
1672509600000,16573.4,16582.8,16566.2,16571.7,2279.31,2022-12-31 18:00:00
1672513200000,16571.8,16585.0,16562.0,16564.3,3780.956,2022-12-31 19:00:00
1672516800000,16564.3,16569.7,16562.0,16563.5,2395.389,2022-12-31 20:00:00
1672520400000,16563.5,16566.4,16538.6,16544.0,4092.844,2022-12-31 21:00:00
1672524000000,16544.0,16565.1,16461.8,16515.1,16666.567,2022-12-31 22:00:00
1672527600000,16515.1,16546.9,16483.1,16537.6,8343.086,2022-12-31 23:00:00
1672531200000,16537.5,16540.9,16504.0,16527.0,5381.399,2023-01-01 00:00:00
1672534800000,16527.1,16554.3,16524.1,16550.4,3210.826,2023-01-01 01:00:00
1672538400000,16550.5,16557.1,16534.8,16542.4,2399.668,2023-01-01 02:00:00
1672542000000,16542.5,16542.5,16515.0,16529.3,3214.48,2023-01-01 03:00:00
1672545600000,16529.2,16530.4,16508.8,16517.8,3150.954,2023-01-01 04:00:00
1672549200000,16517.8,16531.1,16508.0,16525.7,3268.293,2023-01-01 05:00:00
1672552800000,16525.6,16545.7,16525.6,16535.3,2726.582,2023-01-01 06:00:00
1672556400000,16535.3,16537.5,16488.0,16519.6,8852.672,2023-01-01 07:00:00
1672560000000,16519.5,16524.9,16502.0,16504.2,3289.761,2023-01-01 08:00:00
1672563600000,16504.3,16536.1,16496.8,16532.7,3948.702,2023-01-01 09:00:00
1672567200000,16532.7,16542.9,16527.3,16542.8,4110.425,2023-01-01 10:00:00
1672570800000,16542.9,16549.8,16535.1,16549.8,3768.388,2023-01-01 11:00:00
1672574400000,16549.8,16565.9,16542.9,16553.9,5482.001,2023-01-01 12:00:00
1672578000000,16553.8,16559.8,16530.5,16539.9,4505.256,2023-01-01 13:00:00
1672581600000,16539.9,16549.7,16533.1,16533.1,2448.444,2023-01-01 14:00:00
1672585200000,16533.2,16553.1,16524.6,16553.1,3107.183,2023-01-01 15:00:00
1672588800000,16553.0,16579.0,16552.6,16556.0,7482.092,2023-01-01 16:00:00
1672592400000,16556.1,16589.4,16555.5,16573.1,6126.892,2023-01-01 17:00:00
1672596000000,16573.1,16597.0,16573.0,16584.3,4955.635,2023-01-01 18:00:00
